season,celebrity,week,fan_vote_est,judges_score,eliminated,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,age_z,week_cat,season_cat,celebrity_industry_consolidated,country_norm,is_us
1,John O'Hurley,3,2207.037230605894,24.0,False,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,7.0,7.0,6.0,,8.0,9.0,9.0,,9.0,8.0,7.0,,7.0,8.0,6.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,1.0659355692159558,3,1,Actor/Actress,UNITED STATES,1
1,Kelly Monaco,3,3112.9730232837574,21.0,False,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,5.0,4.0,4.0,,5.0,6.0,6.0,,6.0,7.0,8.0,,9.0,9.0,8.0,,8.5,7.5,7.5,,8.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,-0.5658742850909403,3,1,Actor/Actress,UNITED STATES,1
1,Rachel Hunter,3,2493.586015847849,26.0,False,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,7.0,6.0,7.0,,8.0,8.0,8.0,,8.0,9.0,9.0,,7.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-0.09964289814611284,3,1,Model,NEW ZEALAND,0
1,Joey McIntyre,4,2640.182675990132,20.0,False,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,7.0,7.0,6.0,,8.0,7.0,6.0,,7.0,7.0,8.0,,7.0,6.0,7.0,,8.5,7.0,7.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-0.33275859161852656,4,1,Singer/Rapper,UNITED STATES,1
1,John O'Hurley,4,2581.250730059507,21.0,False,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,7.0,7.0,6.0,,8.0,9.0,9.0,,9.0,8.0,7.0,,7.0,8.0,6.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,1.0659355692159558,4,1,Actor/Actress,UNITED STATES,1
1,Kelly Monaco,4,2544.183419338365,26.0,False,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,5.0,4.0,4.0,,5.0,6.0,6.0,,6.0,7.0,8.0,,9.0,9.0,8.0,,8.5,7.5,7.5,,8.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,-0.5658742850909403,4,1,Actor/Actress,UNITED STATES,1
1,Rachel Hunter,4,2234.3831746119954,25.0,True,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,7.0,6.0,7.0,,8.0,8.0,8.0,,8.0,9.0,9.0,,7.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-0.09964289814611284,4,1,Model,NEW ZEALAND,0
1,Joey McIntyre,5,2255.099973817336,22.5,False,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,7.0,7.0,6.0,,8.0,7.0,6.0,,7.0,7.0,8.0,,7.0,6.0,7.0,,8.5,7.0,7.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-0.33275859161852656,5,1,Singer/Rapper,UNITED STATES,1
1,John O'Hurley,5,3565.6445608789227,27.0,False,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,7.0,7.0,6.0,,8.0,9.0,9.0,,9.0,8.0,7.0,,7.0,8.0,6.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,1.0659355692159558,5,1,Actor/Actress,UNITED STATES,1
1,Kelly Monaco,5,4179.255465303741,23.5,False,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,5.0,4.0,4.0,,5.0,6.0,6.0,,6.0,7.0,8.0,,9.0,9.0,8.0,,8.5,7.5,7.5,,8.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,-0.5658742850909403,5,1,Actor/Actress,UNITED STATES,1
1,John O'Hurley,6,4498.384337525006,27.0,False,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,7.0,7.0,6.0,,8.0,9.0,9.0,,9.0,8.0,7.0,,7.0,8.0,6.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,1.0659355692159558,6,1,Actor/Actress,UNITED STATES,1
1,Kelly Monaco,6,5501.615662474994,27.5,False,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,5.0,4.0,4.0,,5.0,6.0,6.0,,6.0,7.0,8.0,,9.0,9.0,8.0,,8.5,7.5,7.5,,8.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,-0.5658742850909403,6,1,Actor/Actress,UNITED STATES,1
2,Drew Lachey,1,1966.916521220726,24.0,False,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.5,9.0,9.0,,9.6666,9.6666,9.6666,,,,,,,,,,,,,,-0.5658742850909403,1,2,Singer/Rapper,UNITED STATES,1
2,George Hamilton,1,1103.706780095026,18.0,False,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,7.0,5.0,6.0,,8.0,7.0,7.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,2.3092192677354957,1,2,Actor/Actress,UNITED STATES,1
2,Giselle Fernandez,1,1102.84085386446,23.0,False,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,7.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.5997041822711283,1,2,Other,MEXICO,0
2,Jerry Rice,1,672.3051642837726,21.0,False,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,7.0,7.0,7.0,,7.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,8.0,7.0,8.0,,7.0,7.0,6.5,,9.0,9.0,8.6666,,,,,,,,,,,,,,0.5219989511136571,1,2,Athlete,UNITED STATES,1
2,Kenny Mayne,1,147.00314168669703,13.0,True,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,4.0,5.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.7551146445860708,1,2,Other,UNITED STATES,1
2,Lisa Rinna,1,1056.2050978093268,19.0,False,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,5.0,7.0,7.0,,6.0,7.0,7.0,,8.0,8.0,9.0,,9.0,9.0,8.0,,7.0,9.0,9.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.4442937199561859,1,2,Actor/Actress,UNITED STATES,1
2,Master P,1,269.3268610347442,12.0,False,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,4.0,4.0,4.0,,6.0,5.0,5.0,,6.0,4.0,4.0,,4.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,-0.09964289814611284,1,2,Singer/Rapper,UNITED STATES,1
2,Stacy Keibler,1,2004.526047596337,22.0,False,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,8.0,6.0,8.0,,9.0,10.0,10.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,9.0,9.0,9.5,,9.3333,9.6666,9.6666,,,,,,,,,,,,,,-0.7989899785633541,1,2,Athlete,UNITED STATES,1
2,Tatum O'Neal,1,708.9489620555728,23.0,False,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,7.0,8.0,8.0,,5.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.4442937199561859,1,2,Actor/Actress,UNITED STATES,1
2,Tia Carrere,1,968.220570353336,20.0,False,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,6.0,7.0,7.0,,7.0,8.0,7.0,,9.0,8.0,9.0,,9.0,8.0,8.0,,7.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.21117802648377215,1,2,Actor/Actress,UNITED STATES,1
2,Drew Lachey,2,2163.577018274636,27.0,False,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.5,9.0,9.0,,9.6666,9.6666,9.6666,,,,,,,,,,,,,,-0.5658742850909403,2,2,Singer/Rapper,UNITED STATES,1
2,George Hamilton,2,915.202318733648,22.0,False,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,7.0,5.0,6.0,,8.0,7.0,7.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,2.3092192677354957,2,2,Actor/Actress,UNITED STATES,1
2,Giselle Fernandez,2,1046.1415170234973,24.0,False,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,7.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.5997041822711283,2,2,Other,MEXICO,0
2,Jerry Rice,2,546.5317621952664,23.0,False,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,7.0,7.0,7.0,,7.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,8.0,7.0,8.0,,7.0,7.0,6.5,,9.0,9.0,8.6666,,,,,,,,,,,,,,0.5219989511136571,2,2,Athlete,UNITED STATES,1
2,Lisa Rinna,2,1205.112807823545,20.0,False,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,5.0,7.0,7.0,,6.0,7.0,7.0,,8.0,8.0,9.0,,9.0,9.0,8.0,,7.0,9.0,9.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.4442937199561859,2,2,Actor/Actress,UNITED STATES,1
2,Master P,2,618.217818278929,16.0,False,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,4.0,4.0,4.0,,6.0,5.0,5.0,,6.0,4.0,4.0,,4.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,-0.09964289814611284,2,2,Singer/Rapper,UNITED STATES,1
2,Stacy Keibler,2,2026.4033852864743,29.0,False,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,8.0,6.0,8.0,,9.0,10.0,10.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,9.0,9.0,9.5,,9.3333,9.6666,9.6666,,,,,,,,,,,,,,-0.7989899785633541,2,2,Athlete,UNITED STATES,1
2,Tatum O'Neal,2,517.9656341243927,17.0,True,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,7.0,8.0,8.0,,5.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.4442937199561859,2,2,Actor/Actress,UNITED STATES,1
2,Tia Carrere,2,960.8477382596104,22.0,False,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,6.0,7.0,7.0,,7.0,8.0,7.0,,9.0,8.0,9.0,,9.0,8.0,8.0,,7.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.21117802648377215,2,2,Actor/Actress,UNITED STATES,1
2,Drew Lachey,3,2419.6561903524384,27.0,False,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.5,9.0,9.0,,9.6666,9.6666,9.6666,,,,,,,,,,,,,,-0.5658742850909403,3,2,Singer/Rapper,UNITED STATES,1
2,George Hamilton,3,833.9779047575904,22.0,False,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,7.0,5.0,6.0,,8.0,7.0,7.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,2.3092192677354957,3,2,Actor/Actress,UNITED STATES,1
2,Giselle Fernandez,3,792.9328708618007,22.0,True,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,7.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.5997041822711283,3,2,Other,MEXICO,0
2,Jerry Rice,3,1104.74895169539,19.0,False,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,7.0,7.0,7.0,,7.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,8.0,7.0,8.0,,7.0,7.0,6.5,,9.0,9.0,8.6666,,,,,,,,,,,,,,0.5219989511136571,3,2,Athlete,UNITED STATES,1
2,Lisa Rinna,3,824.7955952153251,25.0,False,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,5.0,7.0,7.0,,6.0,7.0,7.0,,8.0,8.0,9.0,,9.0,9.0,8.0,,7.0,9.0,9.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.4442937199561859,3,2,Actor/Actress,UNITED STATES,1
2,Master P,3,902.7128781228446,14.0,False,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,4.0,4.0,4.0,,6.0,5.0,5.0,,6.0,4.0,4.0,,4.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,-0.09964289814611284,3,2,Singer/Rapper,UNITED STATES,1
2,Stacy Keibler,3,2089.227648915127,27.0,False,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,8.0,6.0,8.0,,9.0,10.0,10.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,9.0,9.0,9.5,,9.3333,9.6666,9.6666,,,,,,,,,,,,,,-0.7989899785633541,3,2,Athlete,UNITED STATES,1
2,Tia Carrere,3,1031.9479600794862,26.0,False,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,6.0,7.0,7.0,,7.0,8.0,7.0,,9.0,8.0,9.0,,9.0,8.0,8.0,,7.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.21117802648377215,3,2,Actor/Actress,UNITED STATES,1
2,Drew Lachey,4,2736.584262149062,28.0,False,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.5,9.0,9.0,,9.6666,9.6666,9.6666,,,,,,,,,,,,,,-0.5658742850909403,4,2,Singer/Rapper,UNITED STATES,1
2,George Hamilton,4,808.9358898750401,21.0,False,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,7.0,5.0,6.0,,8.0,7.0,7.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,2.3092192677354957,4,2,Actor/Actress,UNITED STATES,1
2,Jerry Rice,4,964.2617614951496,24.0,False,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,7.0,7.0,7.0,,7.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,8.0,7.0,8.0,,7.0,7.0,6.5,,9.0,9.0,8.6666,,,,,,,,,,,,,,0.5219989511136571,4,2,Athlete,UNITED STATES,1
2,Lisa Rinna,4,1230.5984984122128,26.0,False,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,5.0,7.0,7.0,,6.0,7.0,7.0,,8.0,8.0,9.0,,9.0,9.0,8.0,,7.0,9.0,9.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.4442937199561859,4,2,Actor/Actress,UNITED STATES,1
2,Master P,4,565.6075437282583,8.0,True,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,4.0,4.0,4.0,,6.0,5.0,5.0,,6.0,4.0,4.0,,4.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,-0.09964289814611284,4,2,Singer/Rapper,UNITED STATES,1
2,Stacy Keibler,4,2506.814522449792,26.0,False,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,8.0,6.0,8.0,,9.0,10.0,10.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,9.0,9.0,9.5,,9.3333,9.6666,9.6666,,,,,,,,,,,,,,-0.7989899785633541,4,2,Athlete,UNITED STATES,1
2,Tia Carrere,4,1187.197521890484,25.0,False,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,6.0,7.0,7.0,,7.0,8.0,7.0,,9.0,8.0,9.0,,9.0,8.0,8.0,,7.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.21117802648377215,4,2,Actor/Actress,UNITED STATES,1
2,Drew Lachey,5,2955.8556905371065,27.0,False,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.5,9.0,9.0,,9.6666,9.6666,9.6666,,,,,,,,,,,,,,-0.5658742850909403,5,2,Singer/Rapper,UNITED STATES,1
2,George Hamilton,5,893.359943332232,24.0,False,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,7.0,5.0,6.0,,8.0,7.0,7.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,2.3092192677354957,5,2,Actor/Actress,UNITED STATES,1
2,Jerry Rice,5,936.1054625232988,23.0,False,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,7.0,7.0,7.0,,7.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,8.0,7.0,8.0,,7.0,7.0,6.5,,9.0,9.0,8.6666,,,,,,,,,,,,,,0.5219989511136571,5,2,Athlete,UNITED STATES,1
